,Football_data,Transfermarkt
437,Almere City,Almere City FC
456,Anderlecht,RSC Anderlecht
457,Antwerp,Royal Antwerp FC
458,Charleroi,R Charleroi SC
459,Club Brugge,Club Brugge KV
460,Eupen,KAS Eupen
461,Genk,KRC Genk
462,Gent,KAA Gent
463,Kortrijk,KV Kortrijk
464,Lokeren,KSC Lokeren (- 2020)
465,Mechelen,KV Mechelen
466,Mouscron,Royal Excel Mouscron (-2022)
467,Oostende,KV Oostende (-2024)
468,St Truiden,Sint-Truidense VV
469,Standard,Standard Liäge
470,Waasland-Beveren,SK Beveren
471,Waregem,Zulte Waregem
475,Cercle Brugge,Cercle Brugge 
478,Beerschot VA,Beerschot VA
479,Oud-Heverlee Leuven,Oud-Heverlee Leuven
481,Seraing,RFC Seraing
482,St. Gilloise,Union Saint-Gilloise
483,Westerlo,KVC Westerlo
487,RWD Molenbeek,RWD Molenbeek
490,Dender,FCV Dender EH
491,Aves,Desportivo Aves (- 2020)
492,Belenenses,CF Os Belenenses
493,Benfica,SL Benfica
494,Boavista,Boavista FC
495,Chaves,GD Chaves
496,Estoril,GD Estoril Praia
497,Feirense,CD Feirense
498,Guimaraes,Vit¢ria Guimar∆es SC
499,Maritimo,CS Mar°timo
500,Moreirense,Moreirense FC
501,Pacos Ferreira,FC Paáos de Ferreira
502,Portimonense,Portimonense SC
503,Porto,FC Porto
504,Rio Ave,Rio Ave FC
505,Setubal,Vit¢ria Set£bal FC
506,Sp Braga,SC Braga
507,Sp Lisbon,Sporting CP
508,Tondela,CD Tondela
522,Nacional,CD Nacional
523,Santa Clara,CD Santa Clara
531,Famalicao,FC Famalic∆o
532,Gil Vicente,Gil Vicente FC
534,Farense,SC Farense
539,Arouca,FC Arouca
540,Vizela,FC Vizela
544,Casa Pia,Casa Pia AC
549,Estrela,CF Estrela Amadora
568,Akhisar Belediyespor,Akhisarspor
569,Alanyaspor,Alanyaspor
570,Antalyaspor,Antalyaspor
571,Besiktas,Besiktas JK
572,Bursaspor,Bursaspor
573,Buyuksehyr,Basaksehir FK
574,Fenerbahce,Fenerbahce
575,Galatasaray,Galatasaray
576,Genclerbirligi,Genclerbirligi Ankara
577,Goztep,Gîztepe
578,Karabukspor,Kardemir KarabÅkspor
579,Kasimpasa,Kasimpasa
580,Kayserispor,Kayserispor
581,Konyaspor,Konyaspor
582,Osmanlispor,Ankaraspor
583,Sivasspor,Sivasspor
584,Trabzonspor,Trabzonspor
585,Yeni Malatyaspor,Yeni Malatyaspor
596,Ankaragucu,MKE AnkaragÅcÅ
597,Erzurum BB,Erzurumspor FK
598,Rizespor,Caykur Rizespor
600,Denizlispor,Denizlispor
601,Gaziantep,Gaziantep FK
602,Hatayspor,Hatayspor
603,Karagumruk,Fatih KaragÅmrÅk
605,Ad. Demirspor,Adana Demirspor
606,Altay,Altay SK
607,Giresunspor,Giresunspor
609,Istanbulspor,Istanbulspor
610,Umraniyespor,ömraniyespor
611,Pendikspor,Pendikspor
612,Samsunspor,Samsunspor
