Competitie,Seizoen,Url
Belgie,19,https://www.transfermarkt.com/jupiler-pro-league/startseite/wettbewerb/BE1/plus/?saison_id=2018
Belgie,18,https://www.transfermarkt.com/jupiler-pro-league/startseite/wettbewerb/BE1/plus/?saison_id=2017
Portugal,23,https://www.transfermarkt.com/liga-nos/startseite/wettbewerb/PO1/plus/?saison_id=2022
Portugal,22,https://www.transfermarkt.com/liga-nos/startseite/wettbewerb/PO1/plus/?saison_id=2021
Portugal,21,https://www.transfermarkt.com/liga-nos/startseite/wettbewerb/PO1/plus/?saison_id=2020
Portugal,20,https://www.transfermarkt.com/liga-nos/startseite/wettbewerb/PO1/plus/?saison_id=2019
Portugal,19,https://www.transfermarkt.com/liga-nos/startseite/wettbewerb/PO1/plus/?saison_id=2018
Portugal,18,https://www.transfermarkt.com/liga-nos/startseite/wettbewerb/PO1/plus/?saison_id=2017
Griekenland,23,https://www.transfermarkt.com/super-league/startseite/wettbewerb/GR1/plus/?saison_id=2022
Griekenland,22,https://www.transfermarkt.com/super-league/startseite/wettbewerb/GR1/plus/?saison_id=2021
Griekenland,21,https://www.transfermarkt.com/super-league/startseite/wettbewerb/GR1/plus/?saison_id=2020
Griekenland,20,https://www.transfermarkt.com/super-league/startseite/wettbewerb/GR1/plus/?saison_id=2019
Griekenland,19,https://www.transfermarkt.com/super-league/startseite/wettbewerb/GR1/plus/?saison_id=2018
Griekenland,18,https://www.transfermarkt.com/super-league/startseite/wettbewerb/GR1/plus/?saison_id=2017
